class_id,class_name,n_before,n_added,n_after,method
1,Bot,1168,8832,10000,TVAE
8,Heartbleed,7,9993,10000,SMOTE_fallback
9,Infiltration,22,9978,10000,SMOTE_fallback
11,SSH-Patator,1931,8069,10000,TVAE
12,Web Attack � Brute Force,882,9118,10000,TVAE
13,Web Attack � Sql Injection,13,9987,10000,SMOTE_fallback
14,Web Attack � XSS,392,9608,10000,TVAE
