arch,seed,accuracy,macro_precision,macro_recall,macro_f1,balanced_accuracy
cnn_bilstm,42,0.997554347826087,0.9021577777290888,0.8715072812231096,0.8390855336782216,0.8715072812231096
cnn_only,42,0.9850741827991114,0.7986462112034586,0.8329298137321506,0.7583875893456086,0.8329298137321506
bilstm_only,42,0.9853201364646144,0.7603190648076673,0.8176011355336502,0.7252667453490161,0.8176011355336502
