tag,config,n_seeds,seeds,mean_f1,std_f1,min_f1,max_f1
A,none+ce,5,"7,42,123,1337,2024",76.087,4.552,70.143,81.96
B,ctgan+ce,5,"7,42,123,1337,2024",79.969,1.938,77.753,81.986
C,tvae+ce,5,"7,42,123,1337,2024",79.525,2.617,77.465,83.909
D,tvae+focal(sqrt_inverse),5,"7,42,123,1337,2024",70.429,2.785,67.823,74.799
