comparison,n_seeds,seeds,mean_delta,CI95_lo,CI95_hi,p_value,significant_at_0.05
none+FL(fixed) vs none+CE,5,"7,42,123,1337,2024",0.233,-0.204,0.675,0.364,False
none+FL(sqrt_inv) vs none+CE,5,"7,42,123,1337,2024",-0.222,-0.608,0.089,0.2376,False
