sampler,loss,alpha_mode,seed,downsampled,accuracy,macro_precision,macro_recall,macro_f1,balanced_accuracy,gmean,weighted_f1,recall_BENIGN,precision_BENIGN,recall_Bot,precision_Bot,recall_DDoS,precision_DDoS,recall_DoS_GoldenEye,precision_DoS_GoldenEye,recall_DoS_Hulk,precision_DoS_Hulk,recall_DoS_Slowhttptest,precision_DoS_Slowhttptest,recall_DoS_slowloris,precision_DoS_slowloris,recall_FTP_Patator,precision_FTP_Patator,recall_Heartbleed,precision_Heartbleed,recall_Infiltration,precision_Infiltration,recall_PortScan,precision_PortScan,recall_SSH_Patator,precision_SSH_Patator,recall_Web_Attack_�_Brute_Force,precision_Web_Attack_�_Brute_Force,recall_Web_Attack_�_Sql_Injection,precision_Web_Attack_�_Sql_Injection,recall_Web_Attack_�_XSS,precision_Web_Attack_�_XSS
tvae_taus20_N5000,ce,,42,False,0.990530783878134,0.8226336362819114,0.8438274621609486,0.8003746489423,0.8438274621609486,0.7446285428000986,0.990440238274108,0.994974,0.994198,0.625641,0.619289,0.993516,0.999764,0.963539,0.99548,0.998756,0.966087,0.961759,0.983382,0.973073,0.993365,0.995784,0.990772,0.5,1.0,1.0,1.0,0.893324,0.959441,0.956522,0.943338,0.731293,0.645646,1.0,0.085106,0.069231,0.163636
tvae_taus100_N5000,ce,,42,False,0.997554347826087,0.9021577777290888,0.8715072812231096,0.8390855336782216,0.8715072812231096,0.7549209049440864,0.9974006102271272,0.99878,0.998738,0.430769,0.938547,0.999414,0.999609,0.983471,0.995571,0.99326,0.991969,0.994264,0.981132,0.985144,0.99531,0.99747,0.99747,1.0,1.0,1.0,1.0,0.998953,0.989029,0.951863,0.968404,0.935374,0.694444,0.75,0.107143,0.053846,0.875
tvae_taus50_N2000,ce,,42,False,0.992551967629324,0.8672408244924447,0.8039290909522104,0.7745894555613717,0.8039290909522104,0.6500969289853782,0.9924098099421392,0.995308,0.996254,0.394872,0.993548,0.999648,0.999219,0.986388,0.984951,0.992913,0.989193,0.994264,0.982059,0.969359,0.99334,0.996627,0.982544,0.5,1.0,0.857143,0.5,0.941618,0.919466,0.968944,0.920354,0.938776,0.683168,0.5,0.064516,0.023077,1.0
tvae_taus50_N10000,ce,,42,False,0.9969414471596318,0.8723346799446323,0.8615856547670154,0.8136382255566796,0.8615856547670154,0.7054341094050633,0.9967803410386809,0.998243,0.998665,0.397436,0.99359,0.998321,0.999726,0.975693,0.984789,0.994475,0.988953,0.99522,0.979304,0.95636,0.99325,0.996627,0.97284,1.0,1.0,1.0,0.7,0.998567,0.982587,0.914596,0.994932,0.92517,0.676617,0.75,0.069767,0.023077,0.75
tvae_taus50_N20000,ce,,42,False,0.9958663916217074,0.8463198681572287,0.8279838458809586,0.8056426370358412,0.8279838458809586,0.6732213677590259,0.9957976347383108,0.997943,0.997543,0.394872,0.987179,0.999453,0.99957,0.982013,0.989711,0.980792,0.994836,0.991396,0.974624,0.969359,0.984906,0.996627,0.997468,0.5,1.0,1.0,1.0,0.999118,0.972212,0.909938,0.988196,0.92517,0.676617,0.75,0.107143,0.023077,0.024793
tvae_taus20_N2000,ce,N/A,42,False,0.9914312916534433,0.8815367540340292,0.862039721616095,0.8352683296229456,0.862039721616095,0.8332247576457795,0.9911635480896086,0.998585,0.991651,0.392308,0.95625,0.998477,0.99957,0.979096,0.987255,0.98785,0.989883,0.99044,0.983856,0.987929,0.991612,0.995784,0.997466,1.0,1.0,0.857143,1.0,0.850708,0.989611,0.90528,0.998288,0.452381,0.858065,0.75,0.054545,0.784615,0.425
