sampler,loss,alpha_mode,seed,downsampled,accuracy,macro_precision,macro_recall,macro_f1,balanced_accuracy,weighted_f1,recall_BACKDOOR_MALWARE,precision_BACKDOOR_MALWARE,recall_BENIGN,precision_BENIGN,recall_BROWSERHIJACKING,precision_BROWSERHIJACKING,recall_COMMANDINJECTION,precision_COMMANDINJECTION,recall_DDOS_ACK_FRAGMENTATION,precision_DDOS_ACK_FRAGMENTATION,recall_DDOS_HTTP_FLOOD,precision_DDOS_HTTP_FLOOD,recall_DDOS_ICMP_FLOOD,precision_DDOS_ICMP_FLOOD,recall_DDOS_ICMP_FRAGMENTATION,precision_DDOS_ICMP_FRAGMENTATION,recall_DDOS_PSHACK_FLOOD,precision_DDOS_PSHACK_FLOOD,recall_DDOS_RSTFINFLOOD,precision_DDOS_RSTFINFLOOD,recall_DDOS_SLOWLORIS,precision_DDOS_SLOWLORIS,recall_DDOS_SYNONYMOUSIP_FLOOD,precision_DDOS_SYNONYMOUSIP_FLOOD,recall_DDOS_SYN_FLOOD,precision_DDOS_SYN_FLOOD,recall_DDOS_TCP_FLOOD,precision_DDOS_TCP_FLOOD,recall_DDOS_UDP_FLOOD,precision_DDOS_UDP_FLOOD,recall_DDOS_UDP_FRAGMENTATION,precision_DDOS_UDP_FRAGMENTATION,recall_DICTIONARYBRUTEFORCE,precision_DICTIONARYBRUTEFORCE,recall_DNS_SPOOFING,precision_DNS_SPOOFING,recall_DOS_HTTP_FLOOD,precision_DOS_HTTP_FLOOD,recall_DOS_SYN_FLOOD,precision_DOS_SYN_FLOOD,recall_DOS_TCP_FLOOD,precision_DOS_TCP_FLOOD,recall_DOS_UDP_FLOOD,precision_DOS_UDP_FLOOD,recall_MIRAI_GREETH_FLOOD,precision_MIRAI_GREETH_FLOOD,recall_MIRAI_GREIP_FLOOD,precision_MIRAI_GREIP_FLOOD,recall_MIRAI_UDPPLAIN,precision_MIRAI_UDPPLAIN,recall_MITM_ARPSPOOFING,precision_MITM_ARPSPOOFING,recall_RECON_HOSTDISCOVERY,precision_RECON_HOSTDISCOVERY,recall_RECON_OSSCAN,precision_RECON_OSSCAN,recall_RECON_PINGSWEEP,precision_RECON_PINGSWEEP,recall_RECON_PORTSCAN,precision_RECON_PORTSCAN,recall_SQLINJECTION,precision_SQLINJECTION,recall_UPLOADING_ATTACK,precision_UPLOADING_ATTACK,recall_VULNERABILITYSCAN,precision_VULNERABILITYSCAN,recall_XSS,precision_XSS
none_ce_42,ce,,42,False,0.778770440390056,0.6944145074576563,0.5835063147665328,0.5984785562031398,0.5835063147665328,0.7718393594584737,0.0,0.0,0.895423,0.768191,0.108813,0.870504,0.184466,0.688406,0.987479,0.989574,0.669505,0.921676,0.998016,0.991265,0.985469,0.99124,0.997463,0.999155,0.997177,0.999972,0.851786,0.822591,0.602961,0.433161,0.525701,0.54407,0.881815,0.647128,0.795598,0.705711,0.985515,0.998925,0.20647,0.865997,0.524624,0.742542,0.958358,0.857106,0.404333,0.621879,0.328246,0.671822,0.646559,0.747621,0.993878,0.991019,0.988441,0.995438,0.998267,0.989958,0.705365,0.728056,0.611676,0.686518,0.073924,0.431689,0.002315,0.166667,0.273213,0.496098,0.007968,0.666667,0.0,0.0,0.648392,0.579449,0.0,0.0
none_ce_123,ce,,123,False,0.7797354636527345,0.6979546202125719,0.5876439869537428,0.6025046579789892,0.5876439869537428,0.7747279201314952,0.0,0.0,0.91661,0.756392,0.124101,0.851852,0.186408,0.683274,0.987166,0.988257,0.707918,0.898367,0.99734,0.994561,0.988913,0.982974,0.996218,0.999786,0.997161,0.999988,0.897768,0.731672,0.582984,0.438837,0.538747,0.537531,0.802084,0.662281,0.82647,0.698571,0.986228,0.996415,0.240016,0.827824,0.512948,0.76124,0.943819,0.87759,0.41107,0.625597,0.428953,0.612151,0.62321,0.769855,0.994385,0.992119,0.989687,0.99644,0.997504,0.993484,0.712929,0.734327,0.61367,0.685627,0.061468,0.447026,0.0,0.0,0.276664,0.514531,0.028884,0.568627,0.0,0.0,0.605874,0.603258,0.002699,0.5
none_ce_456,ce,,456,False,0.7796849986967187,0.7220424910542529,0.5918958029657895,0.6052219823028409,0.5918958029657895,0.7750375127062274,0.001626,1.0,0.901911,0.768239,0.125899,0.880503,0.199029,0.699659,0.986687,0.99556,0.701576,0.905943,0.997088,0.996453,0.988913,0.979789,0.997804,0.997695,0.997169,0.999992,0.884152,0.767636,0.662976,0.432252,0.490946,0.559095,0.791806,0.671087,0.82979,0.693091,0.987417,0.992044,0.250799,0.762136,0.627758,0.679554,0.954924,0.86839,0.400188,0.628969,0.458966,0.6157,0.610235,0.769752,0.993215,0.992093,0.989975,0.994725,0.998136,0.992182,0.653274,0.763294,0.648823,0.650247,0.092553,0.432658,0.0,0.0,0.257586,0.503692,0.020916,0.954545,0.0,0.0,0.62232,0.60247,0.0,0.0
none_focal_fixed_42,focal,fixed,42,False,0.7801746515954187,0.6991974379443608,0.5946521314635215,0.6088454966051362,0.5946521314635215,0.7767128828760467,0.029268,0.62069,0.899046,0.772877,0.130396,0.843023,0.240777,0.561086,0.9877,0.990819,0.671498,0.921661,0.997093,0.997161,0.987986,0.988444,0.998005,0.997738,0.997217,0.999721,0.917857,0.699915,0.660679,0.435962,0.490858,0.558288,0.719831,0.688165,0.819973,0.700193,0.986777,0.997486,0.267971,0.760771,0.457025,0.760373,0.958796,0.86291,0.410262,0.629398,0.545377,0.585058,0.627877,0.765058,0.993254,0.99373,0.996118,0.993814,0.998241,0.99271,0.743389,0.697964,0.63545,0.682528,0.092933,0.451341,0.013889,0.109091,0.252702,0.51479,0.045817,0.605263,0.0,0.0,0.644112,0.594686,0.0,0.0
none_focal_fixed_123,focal,fixed,123,False,0.7796416750080637,0.708461473739473,0.5902257312904937,0.6048354439991206,0.5902257312904937,0.7750536213426181,0.0,0.0,0.910323,0.762148,0.130396,0.828571,0.156311,0.766667,0.987037,0.99497,0.699764,0.90636,0.997727,0.994292,0.987986,0.987917,0.997774,0.998501,0.997229,0.999844,0.907143,0.76506,0.625076,0.43531,0.534695,0.537909,0.758492,0.677911,0.843756,0.689421,0.987399,0.994896,0.247204,0.849108,0.599766,0.694829,0.948641,0.871945,0.371614,0.667111,0.497179,0.59911,0.596844,0.780554,0.995237,0.989932,0.989889,0.995935,0.997869,0.994118,0.666376,0.753061,0.633417,0.684397,0.060114,0.477009,0.006944,0.09375,0.281873,0.511823,0.028884,0.763158,0.0,0.0,0.61797,0.605405,0.006748,0.416667
none_focal_fixed_456,focal,fixed,456,False,0.7769329922981432,0.7030243944490069,0.5923847956508684,0.6071137211717904,0.5923847956508684,0.7744989685634106,0.0,0.0,0.912013,0.758283,0.143885,0.788177,0.195146,0.700348,0.98735,0.993018,0.676753,0.91298,0.99702,0.997242,0.988241,0.988344,0.997999,0.997389,0.997193,0.999932,0.898884,0.738493,0.619574,0.436463,0.500078,0.549936,0.598952,0.718338,0.803444,0.704681,0.987783,0.99411,0.232827,0.879336,0.633775,0.673004,0.958942,0.858133,0.426119,0.606716,0.674606,0.54816,0.643971,0.752276,0.994819,0.990126,0.987642,0.996433,0.997595,0.995235,0.625509,0.775101,0.650231,0.648304,0.116978,0.445086,0.006944,0.375,0.237661,0.515901,0.043825,0.594595,0.0,0.0,0.598577,0.614548,0.006748,0.357143
none_focal_sqrtinv_42,focal,sqrt_inverse,42,False,0.7701633088824273,0.6260058565078099,0.6073218961223689,0.6010511764944502,0.6073218961223689,0.7659671294668872,0.019512,0.07362,0.862309,0.787919,0.222122,0.254902,0.253398,0.430693,0.990443,0.961823,0.720964,0.856436,0.996257,0.999724,0.987255,0.980015,0.996096,0.999664,0.997109,0.999836,0.969196,0.489129,0.736586,0.42256,0.370161,0.574678,0.673275,0.689191,0.854114,0.678349,0.987472,0.987725,0.323083,0.42895,0.628626,0.639559,0.945281,0.853046,0.454183,0.580466,0.575091,0.560493,0.567258,0.787775,0.988141,0.994857,0.992971,0.98843,0.997465,0.993032,0.633314,0.721976,0.6934,0.522851,0.053507,0.332996,0.090278,0.110795,0.333442,0.442534,0.046813,0.443396,0.062762,0.047319,0.605467,0.593516,0.021592,0.055944
none_focal_sqrtinv_123,focal,sqrt_inverse,123,False,0.7670901834948648,0.6292709940462448,0.6110264832906906,0.6035644163096827,0.6110264832906906,0.7633317605886707,0.066667,0.22043,0.84708,0.796294,0.196942,0.381533,0.245631,0.34143,0.988731,0.978907,0.737996,0.860917,0.996349,0.999506,0.988148,0.979346,0.995597,0.99985,0.997117,1.0,0.971875,0.490095,0.771153,0.412857,0.366614,0.586961,0.609227,0.692796,0.849832,0.679893,0.990142,0.970546,0.341454,0.360455,0.651588,0.631547,0.937975,0.869027,0.415615,0.606151,0.621445,0.535129,0.572482,0.78395,0.99116,0.99127,0.988614,0.992373,0.997393,0.993419,0.613633,0.721317,0.716548,0.532967,0.141132,0.392057,0.092593,0.108108,0.184139,0.519853,0.061753,0.311558,0.066946,0.039702,0.631778,0.574669,0.129555,0.040302
none_focal_sqrtinv_456,focal,sqrt_inverse,456,False,0.7655919456025861,0.6322871223117543,0.602176395042115,0.5983056919206537,0.602176395042115,0.7617767382546381,0.073171,0.106383,0.83799,0.79533,0.205036,0.286792,0.245631,0.38626,0.988547,0.980924,0.690161,0.893293,0.99622,0.99975,0.988484,0.972992,0.995542,0.999743,0.99701,1.0,0.959375,0.484336,0.71678,0.423,0.355166,0.569015,0.653651,0.675501,0.840637,0.680786,0.988917,0.97737,0.289137,0.534712,0.625243,0.645715,0.948422,0.84761,0.476979,0.549405,0.560655,0.539758,0.578907,0.775881,0.988887,0.990034,0.985705,0.989739,0.996207,0.99637,0.59635,0.738289,0.695003,0.531471,0.073328,0.434113,0.06713,0.098305,0.274059,0.465958,0.032869,0.478261,0.062762,0.038462,0.676541,0.54178,0.013495,0.070423
