class_id,class_name,n_before,n_added,n_after,method
1,Bot,1168,832,2000,TVAE
8,Heartbleed,7,1993,2000,SMOTE_fallback
9,Infiltration,22,1978,2000,SMOTE_fallback
11,SSH-Patator,1931,69,2000,TVAE
12,Web Attack � Brute Force,882,1118,2000,TVAE
13,Web Attack � Sql Injection,13,1987,2000,SMOTE_fallback
14,Web Attack � XSS,392,1608,2000,TVAE
