sampler,loss,alpha_mode,seed,downsampled,accuracy,macro_precision,macro_recall,macro_f1,balanced_accuracy,gmean,weighted_f1,recall_BENIGN,precision_BENIGN,recall_Bot,precision_Bot,recall_DDoS,precision_DDoS,recall_DoS_GoldenEye,precision_DoS_GoldenEye,recall_DoS_Hulk,precision_DoS_Hulk,recall_DoS_Slowhttptest,precision_DoS_Slowhttptest,recall_DoS_slowloris,precision_DoS_slowloris,recall_FTP_Patator,precision_FTP_Patator,recall_Heartbleed,precision_Heartbleed,recall_Infiltration,precision_Infiltration,recall_PortScan,precision_PortScan,recall_SSH_Patator,precision_SSH_Patator,recall_Web_Attack_�_Brute_Force,precision_Web_Attack_�_Brute_Force,recall_Web_Attack_�_Sql_Injection,precision_Web_Attack_�_Sql_Injection,recall_Web_Attack_�_XSS,precision_Web_Attack_�_XSS
tvae,focal,fixed,7,False,0.984871866074262,0.8426660937859906,0.8646478961352764,0.8033299473401284,0.8646478961352764,0.739765354119644,0.9855869455388124,0.98322,0.999069,0.394872,0.9625,0.999141,0.999531,0.988819,0.985465,0.99838,0.98104,0.994264,0.97561,0.976787,0.994329,0.996627,0.98995,1.0,1.0,1.0,0.583333,0.998953,0.74165,0.903727,0.998285,0.938776,0.681481,0.75,0.081081,0.046154,0.666667
tvae,focal,fixed,123,False,0.9913737702316724,0.8029834562649242,0.826975526066039,0.7775807734710493,0.826975526066039,0.6917691103021619,0.9914185136122264,0.992986,0.99711,0.523077,0.64557,0.994962,0.999725,0.97229,0.987167,0.99245,0.985579,0.99522,0.972897,0.975859,0.995265,0.996627,0.995788,0.5,1.0,0.857143,0.545455,0.970175,0.886326,0.917702,0.991611,0.935374,0.679012,0.75,0.055556,0.030769,0.307692
tvae,focal,fixed,1337,False,0.9968759917486512,0.8351115997013239,0.8911281200456417,0.8280380880699503,0.8911281200456417,0.781041324195079,0.9968416931629208,0.99817,0.998551,0.648718,0.599526,0.999063,0.999297,0.983471,0.988276,0.989384,0.990472,0.99522,0.983003,0.987001,0.99253,0.996627,0.997468,1.0,1.0,0.857143,0.857143,0.998401,0.989131,0.917702,0.970443,0.942177,0.678922,1.0,0.093023,0.053846,0.388889
tvae,focal,fixed,2024,False,0.9971695493494129,0.8121769979819448,0.897804119514214,0.8038112972244106,0.897804119514214,0.7590924310600335,0.9971286097523966,0.998088,0.99899,0.646154,0.619165,0.998867,0.999648,0.978123,0.98967,0.995458,0.98905,0.992352,0.982025,0.983287,0.995301,0.996627,0.997468,1.0,1.0,1.0,0.368421,0.998622,0.988216,0.909938,0.99322,0.938776,0.681481,1.0,0.08,0.030769,0.5
