contrast,n_seeds,seeds,per_seed_dd,mean_dd,sd_dd,boot_CI95_lo,boot_CI95_hi,boot_tail_p,t_stat,t_p
interaction (fixed-alpha): (CB-HAS FL−CE) − (none FL−CE),5,"7,42,123,1337,2024",+6.281;-12.819;-1.146;-1.359;+2.515,-1.306,7.154,-7.418,4.0,0.7334,-0.408,0.7041
interaction (sqrt-inverse): (CB-HAS FL−CE) − (none FL−CE),5,"7,42,123,1337,2024",+9.740;-15.634;-3.939;-1.398;+2.868,-1.673,9.367,-9.594,5.617,0.675,-0.399,0.7101
