sampler,loss,alpha_mode,seed,downsampled,accuracy,macro_precision,macro_recall,macro_f1,balanced_accuracy,gmean,weighted_f1,recall_BENIGN,precision_BENIGN,recall_Bot,precision_Bot,recall_DDoS,precision_DDoS,recall_DoS_GoldenEye,precision_DoS_GoldenEye,recall_DoS_Hulk,precision_DoS_Hulk,recall_DoS_Slowhttptest,precision_DoS_Slowhttptest,recall_DoS_slowloris,precision_DoS_slowloris,recall_FTP_Patator,precision_FTP_Patator,recall_Heartbleed,precision_Heartbleed,recall_Infiltration,precision_Infiltration,recall_PortScan,precision_PortScan,recall_SSH_Patator,precision_SSH_Patator,recall_Web_Attack_�_Brute_Force,precision_Web_Attack_�_Brute_Force,recall_Web_Attack_�_Sql_Injection,precision_Web_Attack_�_Sql_Injection,recall_Web_Attack_�_XSS,precision_Web_Attack_�_XSS
ros_matched,ce,,42,False,0.9966439225642652,0.8140379981350977,0.8768947846014034,0.7934404928757388,0.8768947846014034,0.8250725790706912,0.996718105727094,0.997998,0.998653,0.969231,0.547826,0.999453,0.999453,0.988333,0.993646,0.985565,0.992831,0.994264,0.982987,0.984215,0.99344,0.996627,0.998311,0.5,1.0,0.857143,0.5,0.999063,0.989138,0.973602,0.941441,0.204082,0.833333,0.75,0.088235,0.953846,0.351275
smote_matched,ce,,42,False,0.9968561567756268,0.8282626432999813,0.8861229095516571,0.7966925312792352,0.8861229095516571,0.8112314813856488,0.9968891153239784,0.997458,0.999519,0.992308,0.577612,0.999492,0.999609,0.98493,0.994112,0.995487,0.985566,0.99522,0.980226,0.983287,0.994366,0.996627,0.997468,0.5,1.0,1.0,0.636364,0.999063,0.989084,0.979814,0.919825,0.12585,0.925,0.75,0.085714,0.992308,0.339474
adasyn_matched,ce,,42,False,0.9966994604887336,0.8165351334092324,0.869329505945,0.7949014397361988,0.869329505945,0.7169153437055318,0.9967701127175732,0.99737,0.999135,0.912821,0.555382,0.998945,0.999531,0.988333,0.985458,0.992074,0.98964,0.994264,0.980207,0.984215,0.99344,0.996627,1.0,0.5,1.0,1.0,0.7,0.999008,0.98607,0.998447,0.851656,0.904762,0.673418,0.75,0.034091,0.023077,0.5
ros_matched,ce,,123,False,0.9935496667724532,0.8231220274464481,0.8896549403378261,0.78895684294353,0.8896549403378261,0.8154636035682511,0.993659616614387,0.993769,0.999213,0.951282,0.573416,0.99918,0.999375,0.985416,0.983981,0.993028,0.988738,0.992352,0.975564,0.977716,0.995274,0.996627,0.997468,0.5,1.0,0.857143,0.6,0.998787,0.908667,0.981366,0.911977,0.12585,0.973684,1.0,0.1,0.992308,0.339474
smote_matched,ce,,123,False,0.995931847032688,0.8103518814743506,0.8597868419913142,0.790396066357664,0.8597868419913142,0.7477051491960682,0.9960481191868298,0.997224,0.998332,0.971795,0.496073,0.993087,0.999568,0.985902,0.986861,0.986202,0.989407,0.994264,0.979284,0.984215,0.991581,0.994941,0.996622,0.5,1.0,0.714286,0.714286,0.998622,0.989133,0.986025,0.888112,0.986395,0.60166,0.75,0.057692,0.053846,0.466667
adasyn_matched,ce,,123,False,0.996324579498572,0.8005818442124776,0.8621506688666807,0.8000492607893374,0.8621506688666807,0.7504886597415544,0.9963841993686984,0.997962,0.99806,0.979487,0.514825,0.999688,0.99957,0.988333,0.991224,0.977552,0.99608,0.99522,0.98115,0.986072,0.994382,0.996627,1.0,0.5,1.0,1.0,0.583333,0.998953,0.988651,0.998447,0.848285,0.952381,0.684597,0.5,0.095238,0.061538,0.333333
ros_matched,ce,,2024,False,0.9935675182481752,0.824394418250882,0.8796680474139068,0.7943449872536396,0.8796680474139068,0.7664613564951384,0.9936867926193056,0.996931,0.995785,0.95641,0.508174,0.99957,0.99957,0.980068,0.987751,0.98976,0.990763,0.981836,0.983716,0.986072,0.982424,0.996627,0.997468,0.5,1.0,0.857143,0.857143,0.925299,0.982037,0.978261,0.950226,0.993197,0.474797,1.0,0.072727,0.053846,0.583333
smote_matched,ce,,2024,False,0.996513011742304,0.798963346712521,0.90574318215918,0.8232725509297103,0.90574318215918,0.8024675753664811,0.9966953101895474,0.99764,0.998719,0.794872,0.555556,0.998789,0.999531,0.972776,0.991576,0.988718,0.991846,0.993308,0.956722,0.961003,0.995192,0.999157,0.996636,1.0,1.0,0.857143,0.75,0.999063,0.988922,0.968944,0.949772,0.993197,0.67907,1.0,0.090909,0.061538,0.04
adasyn_matched,ce,N/A,2024,False,0.9966002856236116,0.839880193395329,0.8819268948658051,0.8025072506532719,0.8819268948658051,0.808870624215513,0.9966653363843484,0.997038,0.999632,0.910256,0.56891,0.999492,0.999336,0.986874,0.984959,0.997454,0.984047,0.987572,0.98381,0.986072,0.986989,0.996627,1.0,0.5,1.0,1.0,1.0,0.999063,0.988706,0.996894,0.829457,0.129252,0.883721,0.75,0.053571,0.992308,0.335065
